repo_id,name,owner,stars,forks,language,topics,description,industry_code,industry_name,industry_confidence
443646773,scikit-eo,ytarazona,126,14,,"change-detection, deep-learning, earth-observation, image-classification-algorithms, optical-imaging, radar-imagery, remote-sensing, satellite-imagery, spectral-mixture-analysis, time-series-analysis",A Python package for Remote Sensing Data Analysis,M,"Professional, scientific activities",high
780548406,Sparrow-Extended-GUI-for-RIGOL-DHO800_DHO900,mriscoc,123,9,Smali,,Sparrow Android GUI project for Rigol DHO800 and DHO900 series Oscilloscopes,C,Manufacturing,high
481456540,minimal-zig-wasm-canvas,daneelsan,122,10,Zig,"html5-canvas, javascript, wasm, webassembly, zig","A minimal example showing how HTML5's canvas, wasm memory and zig can interact.",J,Information and communication,high
63096671,vscode-yuml,jaime-olivares,117,26,JavaScript,"markdown, sequence-diagram, uml, uml-diagram, vscode, vscode-extension, yuml, yuml-syntax",yUML extension for Visual Studio Code,M,"Professional, scientific activities",high
87747322,spring-data-generator,cmeza20,110,49,Java,,Spring Data Generator for JPA repositories and managers.,J,Information and communication,high
378782590,GTranslate,d4n3436,104,15,C#,"text-to-speech, translation, translation-api, translator, translator-api, tts","A collection of free translation APIs (Google Translate, Bing Translator, Microsoft Translator and Yandex.Translate).",J,Information and communication,high
329460539,helpdeskz-dev,helpdesk-z,97,72,PHP,,HelpDeskZ is a free PHP based software which allows you to manage your site's support with a web-based support ticket system.,J,Information and communication,high
459328664,discord-modals,Mateo-tem,92,27,JavaScript,"discord-forms, discord-modals, discordjs-modals, interaction-modal, modal-interactions, modals",discord-modals is a package that allows your bot of discord.js v13 to create the new Discord Modals and interact with them.,J,Information and communication,high
137712029,reactube-client,rafaesc,90,18,TypeScript,"context, crop-videos, google, provider, react, react-context, react-router, state-management, styled-components, typescript, video, without-api, without-redux, youtube","A clone Youtube Web Player using React Provider Pattern, React Context and Typescript",J,Information and communication,high
622768469,sd-webui-stopmotion,gogodr,89,2,Python,,,R,"Arts, entertainment and recreation",medium
390141353,UIKitTutorials,Jeyderht,86,28,C#,,C# - WPF Menu Vertical,J,Information and communication,high
616210503,AdverseCleanerExtension,gogodr,85,36,Python,,Remove adversarial noise from images,M,"Professional, scientific activities",high
34436942,materialize-tags,henrychavez,82,24,JavaScript,,A jQuery tags input plugin based on Materialize,J,Information and communication,high
51562847,peru-geojson,juaneladio,81,104,,,"Archivos GeoJSON con los polígonos que representan a departamentos, provincias y distritos del Perú.",O,Public administration and defense,high
302172413,Python-for-physicists,PCPUNMSM,79,31,Jupyter Notebook,,Repository of courses taught by the Python Club for Physicists,M,"Professional, scientific activities",high
655336865,quantum-bot,NeoKode,77,126,JavaScript,"baileys, bot, downloader, jadibot, nekosmic, optimized, simple, termux, termux-bot-whatsapp, uwu, whatsapp, whatsapp-bot, whatsapp-stickers, whatsapp-userbot, zipponodes","Bot designed for a friendly, fun and simple audience. It was prioritized to be run in termux from Android with basic javascript (I don't study programming, but it's fun to do this muahahaha :v), thanks for visiting, don't forget to smile! :3",R,"Arts, entertainment and recreation",medium
42634120,wpf-propertygrid,jaime-olivares,75,30,C#,"netframework, property-grid, ui-components, wpf",Repackaging of Workflow Foundation's property grid for general use in WPF applications,J,Information and communication,high
195475637,secure-coding-with-python,nxvl,75,20,Python,,Secure Coding in python,J,Information and communication,high
1050804307,warp.dev_account_manager,ghondar,74,27,Python,,"Warp.dev IDE Free - PRO, Cursor / Windsurf / Kiro Dev Alternative",J,Information and communication,high
13101329,wtforms-tornado,puentesarrin,71,10,Python,,WTForms extensions for Tornado.,J,Information and communication,high
213261768,GOES,joaohenry23,71,21,Python,,Python package to download and manipulate GOES-16/17/18/19 data.,M,"Professional, scientific activities",high
88686093,gproshan,larc,71,15,C++,"computational-geometry, cpp, cuda, dictionary-learning, geometry-processing, opengl, shape-analysis, sparse-coding",geometry processing and shape analysis framework,M,"Professional, scientific activities",high
844320702,kit,edgefirst-dev,69,2,TypeScript,,EdgeKit.js is a toolkit to helps you build on top of Cloudflare Development Platform with ease,J,Information and communication,high
700062596,Oxidus,JairHuamanBellido,69,7,TypeScript,,A theme color generator ,M,"Professional, scientific activities",medium
416860698,WPFModernVerticalMenu,Jeyderht,68,25,C#,,,J,Information and communication,medium
631718451,revanced-patches-android5,d4n3436,67,2,Kotlin,,YouTube ReVanced for Android 5,J,Information and communication,high
109532835,fullstack-graphql-angular,rafaesc,63,17,TypeScript,"angular, angular2, expressjs, fullstack, graphql, graphql-client, graphql-schema, graphql-server, mysql, ngrx, nodejs, redux, sequelize, typescript","Simple Fullstack GraphQL Application with Angular CLI + Redux. API built with Typescript + Express + GraphQL + Sequelize (supports MySQL, Postgres, Sqlite and MSSQL). WebApp built with Angular CLI + Redux + Async Middleware to access the API.",J,Information and communication,high
831805289,hubdev.tools,xavimondev,62,6,TypeScript,"groq, hacktoberfest, nextjs, openai, shadcn-ui, supabase, typescript, upstash, vercel-ai-sdk","A collection of resources and tools for developers, Utilize advanced semantic search, powered by Vercel SDK, OpenAI, and Supabase.",J,Information and communication,high
302735954,ForesToolboxRS,ytarazona,60,11,R,"change-detection, deforestation, machine-learning, remote-sensing",Remote Sensing Tools for Forest Monitoring,A,"Agriculture, forestry and fishing",high
692498804,KatashiBot-MD,KatashiFukushima,59,33,JavaScript,,"𝙃𝙤𝙡𝙖 👋 𝘽𝙞𝙚𝙣𝙫𝙚𝙣𝙞𝙙𝙤 𝙖𝙡 𝙧𝙚𝙥𝙤𝙨𝙞𝙩𝙤𝙧𝙞𝙤 𝙤𝙛𝙞𝙘𝙞𝙖𝙡 𝙙𝙚 𝙆𝙖𝙩𝙖𝙨𝙝𝙞𝘽𝙤𝙩-𝙈𝘿. 💫 𝘼𝙦𝙪𝙞 𝙨𝙚 𝙧𝙚𝙖𝙡𝙞𝙯𝙖𝙣 𝙖𝙘𝙩𝙪𝙖𝙡𝙞𝙯𝙖𝙘𝙞𝙤𝙣𝙚𝙨. 𝙎𝙞 𝙩𝙚 𝙖𝙜𝙧𝙖𝙙𝙖 𝙚𝙡 𝙗𝙤𝙩, 𝙙𝙖𝙡𝙚 𝙪𝙣𝙖 🌟 𝙂𝙧𝙖𝙘𝙞𝙖𝙨 𝙥𝙤𝙧 𝙫𝙞𝙨𝙞𝙩𝙖𝙧 𝙚𝙨𝙩𝙚 𝙧𝙚𝙥𝙤𝙨𝙞𝙩𝙤𝙧𝙞𝙤. ⚡",J,Information and communication,high
530437368,Python-StudyClub,DataEngineering-LATAM,58,15,Jupyter Notebook,,¡Club de estudios para Python! Se comparte material útil sobre los diversos temas avanzados sobre Python en la comunidad.,P,Education,high
186746234,react-todo,Luiggi370z,58,32,JavaScript,"blueprint, react-redux, reactjs, sass, todoapp, unit-testing",ReactJS + CSS Modules + Sass + Blueprint,J,Information and communication,high
245474586,legochain,defunkydrummer,57,3,Common Lisp,"blockchain, common-lisp, lisp",Simple educational blockchain in Common LIsp,K,Financial and insurance activities,high
102127660,nativescript-bottom-navigation,henrychavez,57,16,TypeScript,,Nativescript plugin for Android & iOS to have the bottom navigation bar of Material Design,J,Information and communication,high
563079683,plexo-core,minskylab,56,9,Rust,"ai, automation, developer-tools, open-source, productivity, project-management","Plexo: The next generation, open-source, and AI-powered tool for planning, managing, and collaborating on your software projects.",J,Information and communication,high
581597295,Desarrollo-Web-FullStack-con-Django-y-React,apholdings,54,16,JavaScript,,,J,Information and communication,high
366542185,Plantilla-Tesis-UNI-LaTeX,KeyvinSV,53,28,TeX,,LaTeX Template para tesis de grado de la Universidad Nacional de Ingeniería ,P,Education,high
788582882,snap2sql,xavimondev,52,9,TypeScript,"cli, hackaton-supabase, nextjs, openai, shadcn-ui, supabase, tailwindcss, typescript, vision-api",Convert your database diagrams into SQL Schema,J,Information and communication,high
345434096,ubigeo-peru-aumentado,jmcastagnetto,49,19,R,"csv, dataset, json, opendata, peru, r, ubigeo","Datos de equivalencias entre códigos de UBIGEO de RENIEC e INEI, con información sobre clasificación en macro-regiones, asi como latitud, longitud, superficie y altitud del distrito.",O,Public administration and defense,high
567477367,medusa-payment-mercadopago,minskylab,48,10,TypeScript,"ecommerce, medusajs, mercadopago","A MedusaJS plugin for Mercado Pago, a payment platform in Latin America. It enables merchants to accept payments in their local currency.",G,Wholesale and retail trade,high
269537148,google_maps_rule,edwinmacalopu,48,14,Dart,,":earth_americas::straight_ruler::triangular_ruler: google maps flutter ruler and area, distance between two points",F,Construction,medium
556828062,SunglassesHubETL,SebasMBK,48,5,Python,,This project is for demonstrating knowledge of Data Engineering tools and concepts and also learning in the process,G,Wholesale and retail trade,medium
167600680,abcl-jazz,defunkydrummer,47,3,Common Lisp,"abcl, common-lisp, gui, lisp",Example on how to use Java Swing from ABCL (Armed Bear Common Lisp),J,Information and communication,high
852962432,r2-file-storage,edgefirst-dev,47,0,TypeScript,"file-api, file-storage, r2, r2-bucket",A File Storage object built over R2.,J,Information and communication,high
635299508,auto-rust,minskylab,46,3,Rust,"ai, ai-functions, autogpt, gpt-3, gpt-4, llm, openai-api","auto-rust is an experimental project that automatically generate Rust code with LLM (Large Language Models) during compilation, utilizing procedural macros.",M,"Professional, scientific activities",high
192464259,react-starter-kit,Luiggi370z,46,19,JavaScript,"best-practices, enzyme, eslint, jest, prettier, reactjs, redux, starter-kit",Basic ReactJS Starter kit with best practices and folder structure,J,Information and communication,high
453502094,PowerBi-StudyClub,DataEngineering-LATAM,42,7,,"data-analysis, data-science, data-visualization, power-bi, power-bi-dax",Grupo de Estudios de Power BI organizado por la comunidad Data Engineering Latam,M,"Professional, scientific activities",high
507719692,Top20FinanceBooks,AChangM,42,8,,,Top 20 Finance Books recommended by CFA,K,Financial and insurance activities,high
262174397,android-developer-resources,Android-Dev-Peru,41,9,,,Android Developer resources,J,Information and communication,high
644025347,Curso_C_Embebido,WelsTheory,40,6,Assembly,,,C,Manufacturing,medium
426871346,Spark-StudyClub,DataEngineering-LATAM,40,29,Jupyter Notebook,"data-engineering, data-science, pyspark, spark",Grupo de Estudios de Apache Spark organizado por la comunidad Data Engineering Latam,M,"Professional, scientific activities",high
660113380,ddd,nestjslatam,40,2,TypeScript,"ddd, ddd-architecture, ddd-lib, ddd-patterns, library, nestjs, shared",A simple DDD library to apply Domain-Driven Design with NESTJS,J,Information and communication,high
23264581,blocks,ex,38,12,C,,Simple blocks game,R,"Arts, entertainment and recreation",high
1019987379,VTS,j05u3,38,4,Swift,"macos, stt, swift","Transform your voice into text instantly with the power of OpenAI, Groq, and Deepgram APIs. Say goodbye to macOS dictation limitations and hello to lightning-fast, accurate transcription! ⚡️",J,Information and communication,high
946192359,tasker-mcp,dceluis,37,9,Go,"golang, mcp, mcp-server, tasker, tasker-project",An MCP server for Android's Tasker automation app.,J,Information and communication,high
637420785,Curso_Inteligencia_Artificial_Ejercicios_Basicos,apholdings,36,6,Python,,"Recursos del curso de inteligencia artificial, ejercicios basicos.",P,Education,high
114303131,ninglex,defunkydrummer,35,6,Common Lisp,"common-lisp, web-development, web-framework","Easy to learn, quick and dirty, bare-bones web framework for Common Lisp",J,Information and communication,high
313367071,my_init.vim,eduarQuintero73,35,27,Vim script,,,J,Information and communication,high
112387860,lisp-xl,defunkydrummer,33,6,Common Lisp,"common-lisp, excel, xlsx",Common Lisp Microsoft XLSX (Microsoft Excel) loader for arbitrarily-sized / big-size files,J,Information and communication,high
280770694,forestools,ytarazona,33,0,Python,"detect-deforestation, ndfi-index, remote-sensing, time-series-, time-series-change-detection",Tools for detecting deforestation and forest degradation,A,"Agriculture, forestry and fishing",high
999842211,demosite_appscript,zmandel,33,3,JavaScript,,,J,Information and communication,low
394480216,Fergun.Interactive,d4n3436,32,7,C#,"discord, discord-bot, discord-net, discordapp, discordbot, interactive",An addon that provides interactive functionality to Discord commands.,J,Information and communication,high
277937303,Fergun,d4n3436,31,10,C#,"csharp, discord, discord-bot, discord-net, image-search, ocr, tts",A utility Discord bot written in C# using Discord.Net,J,Information and communication,high
604278651,fastapi-hexagonal,dev-lusaja,31,15,Python,,Arquitectura hexagonal utilizando el framework fastapi de python,J,Information and communication,high
442041405,Osintgram,NextKool,30,12,Python,,Osintgram is a OSINT tool on Instagram. Total credit to Datalux,J,Information and communication,high
984889570,pb_launcher,user0608,30,5,Go,"firebase, pocketbase, proxy, supabase","A fast and lightweight Go-based launcher for managing PocketBase instances. Single binary, open source, and easy to use",J,Information and communication,high
42590904,xmldoc2md,jaime-olivares,29,7,XSLT,"build-automation, markdown, msbuild, powershell-script, stylesheets, visual-studio, xml-document",Automatic documentation markdown formatter for Visual Studio projects,J,Information and communication,high
620949167,Awesome-Books,CarlosIgreda,28,0,JavaScript,"css, dom-manipulation, flexbox, grid-layout, html, javascript, media-queries","In this project, I will build a basic website that allows users to add/remove books from a list. I will achieve that by using JavaScript objects and arrays. I will also need to dynamically modify the DOM and add basic events.",J,Information and communication,high
595763930,JetCoMovie-App-,carlosgub,28,4,Kotlin,"android, clean-architecture, compose, coroutines-android, coroutines-flow, example-app, flow, hilt, hilt-android, jetpack-compose, kotlin, kotlin-android, kotlin-coroutines, lottie, lottie-android, movies, movies-api, mvvm, room, room-database",Jetpack Compose + Coroutines Flow + MVVM + Clean + Hilt + Room,R,"Arts, entertainment and recreation",high
671342496,pizomniatool,theb4rt,28,0,Python,,"PiZ0mn1aTool is a compact and powerful hacking tool, crafted around the Raspberry Pi Zero 2W, paired with a Display Gaming LCD Hat.",J,Information and communication,high
64990789,Piranhas,ArturoDeza,26,1,Matlab,,A Toolkit for creating Peripheral Architectures (NIPS 2016),M,"Professional, scientific activities",high
680705850,whatsapp-cloud-api-express,j05u3,26,4,TypeScript,"aws-lambda, bot-framework, chatbot, express, google-cloud-functions, nodejs, serverless, webhook, whatsapp-bot, whatsapp-chatbot, whatsapp-cloud, whatsapp-cloud-api",A set of Node.js and Express.js functions for sending/receiving messages using the Whatsapp Cloud API. Suited to work in serverless environments.,J,Information and communication,high
635396417,curso_microservicios_backend,apholdings,25,1,Python,,Curso de Microservicios con Django rest framework y NextJS,J,Information and communication,high
623681780,To-Do-list,CarlosIgreda,25,0,JavaScript,"babel, css, html, javascript, jest, testing, webpack","In this project, I will build a simple HTML list of To Do tasks. The list will be styled according to the specifications listed later in this lesson. This simple web page will be built using webpack and served by a webpack dev server.",J,Information and communication,high
604329368,Portfolio-setup-and-mobile-first,CarlosIgreda,25,1,CSS,"css, dom-manipulation, flexbox, grid-layout, html, javascript, media-queries","In this project, I will build a portfolio website from scratch for mobile and desktop version using HTML, CSS and JavaScript.",J,Information and communication,high
888270060,programa7genai,macespinoza,25,10,Jupyter Notebook,,Curso de Introducción a la Inteligencia Artificial Generativa con Modelos de Gran Tamaño,M,"Professional, scientific activities",high
41637926,dashninja-fe,elbereth,25,39,JavaScript,"blockchain, dashpay, monitoring, phalcon, php",Dash Ninja Front-End (Public Rest API+HTML+JS),K,Financial and insurance activities,high
20003052,asyncflux,puentesarrin,25,1,Python,,Asynchronous client for InfluxDB and Tornado.,J,Information and communication,high
384200521,kitty-terminal-cheatsheet,jmcastagnetto,24,0,TeX,,A simple cheatsheet based on the kitty terminal documentation,J,Information and communication,high
482640421,ENDES-INDICADORES-STATA,ljporras,24,6,Stata,,Sintaxis en Stata para estimar indicadores con la Encuesta Demográfica y de Salud Familiar (ENDES) del Peru.,Q,Human health and social work,high
338209810,summer-school-2021,PCPUNMSM,24,11,Jupyter Notebook,"caos, numerical, numerical-methods, pendulum, physics, radiative-decay","Repositorio de la II Escuela de Verano en Física computacional (100% virtual), donde participaron estudiantes de habla hispana de todo lationamérica.",M,"Professional, scientific activities",high
281318783,quantum-computing,PCPUNMSM,24,2,Jupyter Notebook,"python, qiskit, qiskit-global-summer-school, quantum-computing, quantum-mechanics, softbutterfly",Materials written by @zodiacfireworks and @RcrdPhysics as part ot the IBM Qiskit Global Summer School.,M,"Professional, scientific activities",high
623050244,Awesome-Books-ES6,CarlosIgreda,24,1,JavaScript,"css, dom-manipulation, es6, html, javascript, media-queries","In this project, I will restructure your Awesome books app code. The goal is to make it more organized by using modules. I will also practice the ES6 syntax that I have learned.",J,Information and communication,high
146135280,node-suitetalk,felipechang,24,31,JavaScript,,NodeJs Suitetalk wrapper for NetSuite,K,Financial and insurance activities,high
863799372,data,edgefirst-dev,24,0,TypeScript,"dto, edgefirst-dev, formdata-parser, object-parser, searchparams-parser, typescript","TypeScript utilities for safely parsing and handling structured data using DTOs and parsers for FormData, URLSearchParams, and JSON objects.",J,Information and communication,high
2616883,rubyperu.github.com,rubyperu,24,15,CSS,"hacktoberfest, jekyll, peru, ruby",Sitio ruby.pe y wiki de la comunidad,J,Information and communication,high
616731527,Capstone-Project,CarlosIgreda,23,0,CSS,"css, dom-manipulation, flexbox, grid-layout, html, javascript, media-queries","In this capstone project, I'm going to build is based on an online website for a conference using HTML, CSS and JavaScript.",R,"Arts, entertainment and recreation",medium
684222807,kotlinm-charts,carlosgub,23,2,Kotlin,"android, charts, compose-multiplatform, ios, kotlin, kotlin-multiplatform","This library contains several chart composables for usage in Kotlin Multiplatform projects. Currently supported platforms are iOS, Android and Desktop (not verified).",J,Information and communication,high
504610856,Download_ERA5_with_python,joaohenry23,23,5,,,Tutorial for download ERA5 data using python.,M,"Professional, scientific activities",high
316637664,GScraper,d4n3436,23,5,C#,"brave, duckduckgo, google, google-images, gscraper, web-scraping","A collection of search engine image scrapers (Google Images, DuckDuckGo and Brave)",J,Information and communication,high
686218584,obsidian-periodic-notes-calendar,luiisca,23,2,TypeScript,"calendar, obsidian-plugin, svelte, typescript",Obsidian plugin to organize periodic notes from daily to yearly with a calendar interface. Navigate and summarize entries using stickers in the calendar view.,J,Information and communication,high
568473412,PSWindowsDotfiles,JuanOrbegoso,23,2,PowerShell,powershell,Create and Run 🚀 Dotfiles projects for Windows 10/11,J,Information and communication,high
567518208,blob,minskylab,21,1,Rust,"artificial-life, chatgpt, lowcode, openai-api, rust, software-engineering","Blob aspires to be a new kind of software, one that is alive. It is a tool that utilizes large language models technology to enable the definition and implementation of software projects in natural language.",J,Information and communication,high
474461070,WPFUIKitProfessional,Jeyderht,20,9,C#,,,J,Information and communication,medium
322384,servicebroker-queues,CoreyKaylor,20,7,C#,,A easy to use queue library for SQL Service Broker based on rhino-queues,J,Information and communication,high
826606817,seo-ai,xavimondev,20,1,TypeScript,,Command-line tool to generate SEO metadata and HTML meta tags using AI models,J,Information and communication,high
513694291,zig-wasm-logger,daneelsan,20,0,Zig,"javascript, wasm, zig",A simple implementation of console.log() in Zig + JS + Wasm,J,Information and communication,high
814450362,floating-views,luiisca,20,5,Kotlin,"android-library, floating, jetpack-compose, kotlin-android",Kotlin library for effortlessly creating customizable floating UI elements in Android apps.,J,Information and communication,high
274217693,Statdownscaling,Hydroenvironment,19,6,R,"biascorrection, climate, climatechange, downscaling, hydrology, hydrolohy, meteorology",Statistical dowscaling of climate data at daily scale using quantile mapping (QPM) technique.,E,Water supply; sewerage,medium
173377101,NeuroFovea,ArturoDeza,19,0,Lua,,Code to generate visual metamers via foveated feed-forward style transfer (ICLR 2019),M,"Professional, scientific activities",high
549328364,contentcreators,xavimondev,19,5,TypeScript,"hacktoberfest, next, react, tailwindcss, typescript, vercel",Plataforma web en donde encontrarás los mejores creadores de contenido en español.,R,"Arts, entertainment and recreation",high
978434517,gcp-ai-agent-starter-kit,macespinoza,19,6,Jupyter Notebook,"ai-agents, bigquery, cloud-run, gcp, generative-ai, langchain, llm, llm-agents, openai, prompt-engineering, rag","Starter kit to deploy LLM agents with memory and RAG using LangChain, OpenAI, and Google Cloud (Cloud Run, BigQuery).",J,Information and communication,high
766025398,nodejs-ts-kafka-auth-message,madmarin,19,0,TypeScript,"apache-kafka, nodejs, typeorm, typescript",Node js REST API using apache kafka to receive messages.,J,Information and communication,high
266682954,google_maps_directions_alternative,edwinmacalopu,19,8,Dart,,":earth_americas: :triangular_flag_on_post: :arrow_right_hook: OSRM route is free, alternative to google api directions for flutter.",H,Transportation and storage,high
360727272,Another-GiftCards-Bot,x-name15,19,9,Python,,This is a another Discord Giftcards Generator Bot,G,Wholesale and retail trade,medium
501467751,Keypoints,Artcs1,19,3,C++,,[CVPRW 2022] Panoramas based on Keypoint Matching: a Comparative Study and Critical Analysis,M,"Professional, scientific activities",high
420725777,Airflow-StudyClub,DataEngineering-LATAM,18,11,Python,"apache-airflow, data-engineering, python",Grupo de estudio Apache Airflow organizado por la comunidad Data Engineering Latam,M,"Professional, scientific activities",high
153801766,Python-Basic-Training,Hydroenvironment,18,14,Python,,Some training examples for python programming in hydrology and climatology,A,"Agriculture, forestry and fishing",medium
775276158,geocodificacion-con-python,geografope,18,8,Jupyter Notebook,"geocoding-con-python, geocoding-with-python, geografia, geografia-computacional, geografope, geopy, geopython, peru, python, spatial",Este repositorio 📁 contiene un script📜 desarrollado en python que te permitirá realizar el proceso de geocodificación directa o inverso a través de un cuaderno de jupyter.,M,"Professional, scientific activities",high
188272708,RClimChange,hllauca,18,6,R,,,M,"Professional, scientific activities",medium
930738795,jwt,edgefirst-dev,18,1,TypeScript,,A library to simplify using JWT in your application.,J,Information and communication,high
816480155,xml-gen-fee,madmarin,18,0,TypeScript,"genera, sunat, sunat-xml, xml","Paquete de código abierto para facilitar y mejorar la generación y creación de documentos xml en base las normas de SUNAT. Para generar Boletas de venta, Facturas, Notas de debito | Credito etc.",G,Wholesale and retail trade,high
891429576,kick-dl,juliogarciape,18,3,JavaScript,"cli, cli-downloader, clips, downloader, ffmpeg, kick, kick-com, kick-downloader, livestream, streaming, twitch-dl, video, youtube-dl, yt-dlp",CLI tool for easily downloading VODs and Clips from kick.com,R,"Arts, entertainment and recreation",high
178033378,COURSERA_Advanced-Machine-Learning-with-TensorFlow-on-GCP-Specialization,mirkorodriguez,18,15,HTML,,Advanced Machine Learning with TensorFlow on Google Cloud Platform Specialization offered by Google Cloud Team,J,Information and communication,high
782623542,118_SistemaPrestamo_Net8_ADO.NET_NCapas,CodigoEstudiante,17,3,JavaScript,,,K,Financial and insurance activities,medium
533356702,app-nodejs-codechallenge,yaperos,17,507,,core,Code challenge for potential Yaperos,J,Information and communication,high
482644212,ENAHO-INDICADORES-STATA,ljporras,17,4,Stata,,Sintaxis en Stata para estimar indicadores con la Encuesta Nacional de Hogares (ENAHO) del Peru.,O,Public administration and defense,high
1012409548,ArcrisGUI,CodigoCristo,17,2,C,,Instalador Gráfico para instalar fácil ArchLinux,J,Information and communication,high
768889002,cyclia-frontend-android,madmarin,17,0,Dart,,,J,Information and communication,low
703916478,sonner,madmarin,17,0,TypeScript,,An opinionated toast component for React.,J,Information and communication,high
437351990,PeopleApp,EduDev06,17,3,Kotlin,"android, android-crud, android-mvvm-architecture, coroutines, jetpack-compose, navigation-component, room","PeopleApp is an application where you see the CRUD with the use of the Room database. You can delete, edit, create, and search for a user's data. The project uses Coroutines, Navigation, MVVM, Jetpack Compose and more",J,Information and communication,high
984200075,template-hexagonal-java-spring,IvanPerez-dev,17,5,Java,,organizacion de componentes con la arquitectura hexagona con java spring boot plantilla de ejemplo,J,Information and communication,high
701450011,ApiRestUnsplash,programadorescs,17,4,Kotlin,,"Mediante este ejemplo accederemos a la api de Unsplash, la particularidad de este endpoint es que la api_key esta al final de la misma url, para ello haremos uso los Interceptor para agregar dicha api_key.",J,Information and communication,high
105169370,whatanime-android,maddog05,17,1,Kotlin,,Android implementation of whatanime.ga API,R,"Arts, entertainment and recreation",high
606237417,uridium-protocol,apholdings,16,1,JavaScript,"dao, defi, ethereum, governance","Open source ecosystem designed to bring together decentralized finance (DeFi), online education, and video gaming. ",K,Financial and insurance activities,high
912371507,ESA-zar-zip-decision,csaybar,16,0,,,What I think about tentative zarr+zip as the next Sentinel 2 format,M,"Professional, scientific activities",medium
847413443,geoidep,ambarja,16,2,R,"cartografia, geoidep, peru, spatial",📥 Download geographic data on various topics provided and managed by the Spatial Data Infrastructure of Peru 🌎🌐.,M,"Professional, scientific activities",high
21467275,django-sequence-field,gnrfan,16,20,Python,,A Django Field for creating templated sequence strings,J,Information and communication,high
788577620,ine018-unmsm,ManuelLoaizaV,16,50,Python,,"Repositorio del curso Matemática Computacional de la Universidad Nacional Mayor de San Marcos dictado durante los ciclos 2024-1, 2024-2 y 2025-1.",P,Education,high
